country,year,SES,gdppc
Afghanistan,2010,5.6763997,1662.8035
Angola,2010,21.247763,6492.1768
Albania,2010,74.860367,9927.1758
United Arab Emirates,2010,89.092285,57406.738
Argentina,2010,79.750809,18794.27
Armenia,2010,62.782436,6507.9146
Australia,2010,94.268761,41363.215
Austria,2010,87.227364,43174.977
Burundi,2010,1.9258878,707.7876
Belgium,2010,89.668945,41086.551
Benin,2010,5.9544435,1759.387
Burkina Faso,2010,2.2252226,1420.9326
Bangladesh,2010,21.599051,2451.3052
Bulgaria,2010,78.304153,15283.246
Bahrain,2010,86.096413,39912.695
Belize,2010,60.684231,7886.9976
Bolivia,2010,60.437103,5407.6099
Brazil,2010,61.067955,14405.931
Barbados,2010,77.688675,15345.843
Brunei Darussalam,2010,86.289162,79602.539
Botswana,2010,75.72728,13119.551
Central African Republic,2010,2.9197621,888.71686
Canada,2010,93.772118,40699.355
Switzerland,2010,91.012245,55541.672
Chile,2010,82.043282,19357.473
China,2010,58.952156,9525.8193
C̫te d'Ivoire,2010,9.9097223,2726.2886
Cameroon,2010,23.714863,2574.97
"Congo, Dem Rep",2010,2.1644931,596.32288
Congo,2010,37.508343,5595.2964
Colombia,2010,59.636009,10900.504
Costa Rica,2010,72.739906,13000.013
Cuba,2010,83.01342,18433.902
Cyprus,2010,84.794022,33941.285
Czech Republic,2010,89.972534,28289.889
Germany,2010,92.546394,40428.723
Denmark,2010,88.418976,43757.738
Dominican Republic,2010,57.486111,11123.533
Algeria,2010,71.197067,12898.296
Ecuador,2010,48.91156,9352.3428
Egypt,2010,55.775925,10102.101
Spain,2010,85.359718,32506.434
Estonia,2010,87.317307,22740.965
Ethiopia,2010,2.212363,1075.5537
Finland,2010,87.093582,39848.133
Fiji,2010,61.816265,7352.0713
France,2010,88.194969,36872.227
Gabon,2010,74.466629,16334.479
United Kingdom,2010,85.16819,36195.867
Ghana,2010,28.21961,3083.8674
Gambia,2010,4.722445,1654.9081
Greece,2010,85.653824,28726.08
Guatemala,2010,25.479139,6667.6348
Guyana,2010,57.296577,5783.0884
Hong Kong,2010,89.249359,48107.727
Honduras,2010,31.078709,4336.8213
Croatia,2010,78.641861,20118.156
Haiti,2010,16.868803,1502.0327
Hungary,2010,87.218033,22277.373
Indonesia,2010,41.214973,8465.2959
India,2010,22.542639,4404.5376
Ireland,2010,93.44828,45661.469
Iran,2010,76.485092,17517.434
Iraq,2010,52.967228,12674.15
Iceland,2010,88.94268,38790.309
Israel,2010,86.517677,29599.793
Italy,2010,85.016357,36201.16
Jamaica,2010,62.101143,8218.0869
Jordan,2010,73.416588,10441.127
Japan,2010,89.416603,35749.77
Kazakhstan,2010,82.860207,20096.918
Kenya,2010,27.877026,2538.5764
Kyrgyzstan,2010,42.923637,2790.1707
Cambodia,2010,23.123371,2513.2932
South Korea,2010,89.76059,30440.404
Kuwait,2010,70.248283,73695.133
Lao,2010,12.002253,3974.4224
Liberia,2010,15.658074,697.90991
Libya,2010,68.144432,29173.607
Sri Lanka,2010,66.254997,8563.2129
Lesotho,2010,24.644567,2405.3123
Lithuania,2010,83.806778,21061.986
Luxembourg,2010,91.404564,89727.039
Latvia,2010,83.01342,18251.008
Macao,2010,75.859711,98614.688
Morocco,2010,25.457148,6496.6069
Moldova,2010,46.91198,3910.8606
Madagascar,2010,4.6135592,1390.4252
Maldives,2010,52.376785,10514.397
Mexico,2010,76.681602,15364.872
Mali,2010,3.3658812,1860.6051
Malta,2010,84.051285,28370.279
Myanmar,2010,11.08836,3607.7678
Mongolia,2010,56.645378,7708.5801
Mozambique,2010,1.0391634,913.9884
Mauritania,2010,10.677853,3333.7314
Mauritius,2010,64.014664,15938.419
Malawi,2010,5.9646006,1060.7469
Malaysia,2010,82.217072,21101.879
Namibia,2010,39.113663,8381.8838
Niger,2010,1.0061815,820.65167
Nigeria,2010,22.300016,5122.8135
Nicaragua,2010,27.610533,4024.2273
Netherlands,2010,90.62513,45524.664
Norway,2010,97.551964,62268.012
Nepal,2010,5.8086958,1996.8596
New Zealand,2010,90.69915,32188.207
Pakistan,2010,23.425098,4296.6128
Panama,2010,78.675011,15516.087
Peru,2010,71.429535,9956.5576
Philippines,2010,57.296577,5638.2075
Papua New Guinea,2010,6.4538951,2166.5334
Poland,2010,81.966171,21770.619
Portugal,2010,68.019989,27238.461
Paraguay,2010,56.796692,7289.5137
Qatar,2010,73.092361,126144.72
Romania,2010,81.71167,17818.018
Russia,2010,86.174202,23107.785
Rwanda,2010,4.2342248,1328.5721
Saudi Arabia,2010,83.356682,44246.82
Sudan,2010,7.4338622,3240.8315
Senegal,2010,18.333456,2173.7646
Singapore,2010,89.22805,72017.906
Sierra Leone,2010,4.2342248,1361.1169
El Salvador,2010,46.173714,7452.5615
Serbia,2010,74.43924,12688.078
Slovakia,2010,86.117645,25159.078
Slovenia,2010,88.576523,28678.373
Sweden,2010,91.959633,42942.563
Swaziland,2010,45.673538,7594.3135
Syria,2010,37.778469,9227.2402
Togo,2010,19.853193,1229.4755
Thailand,2010,59.099377,13584.209
Tajikistan,2010,42.957558,2122.9895
Tonga,2010,57.704826,4993.0
Trinidad & Tobago,2010,83.329819,31261.025
Tunisia,2010,56.942608,10437.089
Turkey,2010,60.248875,17076.605
Tanzania,2010,18.655478,2111.1951
Uganda,2010,17.438858,1573.4714
Ukraine,2010,64.423592,7824.4985
Uruguay,2010,75.532364,17082.41
United States,2010,97.464378,49372.832
Venezuela,2010,60.248875,16563.396
Vietnam,2010,38.222027,4486.2612
Yemen,2010,19.492294,4481.5547
South Africa,2010,71.227959,12028.934
Zambia,2010,27.12714,3263.3948
Zimbabwe,2010,27.091389,1388.973
